style_id,style_original_path,style_enhanced_path,dominant_color,style_tags,nail_shape,complexity_level,suitable_scenes,operation_role,notes
style_001,data/raw/images/nail_styles_original/style_001_original.png,data/raw/images/nail_styles_enhanced/style_001_enhanced.png,,,,,,,
style_002,data/raw/images/nail_styles_original/style_002_original.png,data/raw/images/nail_styles_enhanced/style_002_enhanced.png,,,,,,,
style_003,data/raw/images/nail_styles_original/style_003_original.png,data/raw/images/nail_styles_enhanced/style_003_enhanced.png,,,,,,,
style_004,data/raw/images/nail_styles_original/style_004_original.jpg,data/raw/images/nail_styles_enhanced/style_004_enhanced.png,,,,,,,
style_005,data/raw/images/nail_styles_original/style_005_original.jpg,data/raw/images/nail_styles_enhanced/style_005_enhanced.png,,,,,,,
style_006,data/raw/images/nail_styles_original/style_006_original.png,data/raw/images/nail_styles_enhanced/style_006_enhanced.png,,,,,,,
style_007,data/raw/images/nail_styles_original/style_007_original.png,data/raw/images/nail_styles_enhanced/style_007_enhanced.png,,,,,,,
style_008,data/raw/images/nail_styles_original/style_008_original.png,data/raw/images/nail_styles_enhanced/style_008_enhanced.png,,,,,,,
style_009,data/raw/images/nail_styles_original/style_009_original.png,data/raw/images/nail_styles_enhanced/style_009_enhanced.png,,,,,,,
style_010,data/raw/images/nail_styles_original/style_010_original.png,data/raw/images/nail_styles_enhanced/style_010_enhanced.png,,,,,,,
style_011,data/raw/images/nail_styles_original/style_011_original.png,data/raw/images/nail_styles_enhanced/style_011_enhanced.png,,,,,,,
style_012,data/raw/images/nail_styles_original/style_012_original.png,data/raw/images/nail_styles_enhanced/style_012_enhanced.png,,,,,,,
style_013,data/raw/images/nail_styles_original/style_013_original.png,data/raw/images/nail_styles_enhanced/style_013_enhanced.png,,,,,,,
style_014,data/raw/images/nail_styles_original/style_014_original.png,data/raw/images/nail_styles_enhanced/style_014_enhanced.png,,,,,,,
style_015,data/raw/images/nail_styles_original/style_015_original.png,data/raw/images/nail_styles_enhanced/style_015_enhanced.png,,,,,,,
style_016,data/raw/images/nail_styles_original/style_016_original.png,data/raw/images/nail_styles_enhanced/style_016_enhanced.png,,,,,,,
style_017,data/raw/images/nail_styles_original/style_017_original.png,data/raw/images/nail_styles_enhanced/style_017_enhanced.png,,,,,,,
style_018,data/raw/images/nail_styles_original/style_018_original.png,data/raw/images/nail_styles_enhanced/style_018_enhanced.png,,,,,,,
style_019,data/raw/images/nail_styles_original/style_019_original.png,data/raw/images/nail_styles_enhanced/style_019_enhanced.png,,,,,,,
style_020,data/raw/images/nail_styles_original/style_020_original.png,data/raw/images/nail_styles_enhanced/style_020_enhanced.png,,,,,,,
style_021,data/raw/images/nail_styles_original/style_021_original.png,data/raw/images/nail_styles_enhanced/style_021_enhanced.png,,,,,,,
style_022,data/raw/images/nail_styles_original/style_022_original.png,data/raw/images/nail_styles_enhanced/style_022_enhanced.png,,,,,,,
style_023,data/raw/images/nail_styles_original/style_023_original.png,data/raw/images/nail_styles_enhanced/style_023_enhanced.png,,,,,,,
style_024,data/raw/images/nail_styles_original/style_024_original.png,data/raw/images/nail_styles_enhanced/style_024_enhanced.png,,,,,,,
style_025,data/raw/images/nail_styles_original/style_025_original.png,data/raw/images/nail_styles_enhanced/style_025_enhanced.png,,,,,,,
